,id,geoid,population,below50pov,below125pov,below150pov,below185pov,below200pov,below300pov,below400pov,below500pov
61833,1400000US48029121811,"Census Tract 1218.11, Bexar County, Texas",5616,293,808,879,1158,1244,1855,2730,4087
61834,1400000US48029121812,"Census Tract 1218.12, Bexar County, Texas",6868,226,1187,2129,2623,2907,3305,4154,5162
61835,1400000US48029121813,"Census Tract 1218.13, Bexar County, Texas",1738,151,222,228,361,442,698,1199,1335
61836,1400000US48029121903,"Census Tract 1219.03, Bexar County, Texas",5883,130,326,484,619,799,1554,2484,3424
61837,1400000US48029121904,"Census Tract 1219.04, Bexar County, Texas",3176,4,117,117,162,220,458,709,1485
61838,1400000US48029121905,"Census Tract 1219.05, Bexar County, Texas",5414,268,337,466,606,606,1171,2018,2641
61839,1400000US48029121906,"Census Tract 1219.06, Bexar County, Texas",5453,321,417,488,582,601,1827,2421,3061
61840,1400000US48029121907,"Census Tract 1219.07, Bexar County, Texas",13024,249,468,1098,1626,2045,3651,5849,8350
61841,1400000US48029121908,"Census Tract 1219.08, Bexar County, Texas",2704,7,40,40,57,122,378,788,996
61842,1400000US48029121909,"Census Tract 1219.09, Bexar County, Texas",8216,205,1108,1108,1417,1506,2466,4084,5837
61843,1400000US48029121910,"Census Tract 1219.10, Bexar County, Texas",7385,23,206,229,261,261,1717,3223,4539
61844,1400000US48029130200,"Census Tract 1302, Bexar County, Texas",1623,266,662,909,1041,1064,1303,1497,1497
61845,1400000US48029130300,"Census Tract 1303, Bexar County, Texas",3360,384,1234,1311,1662,2125,3079,3174,3292
61846,1400000US48029130401,"Census Tract 1304.01, Bexar County, Texas",4064,601,1895,2123,2615,2674,3182,3705,3931
61847,1400000US48029130402,"Census Tract 1304.02, Bexar County, Texas",4180,961,1906,2514,2986,3102,3880,3911,4049
61848,1400000US48029130500,"Census Tract 1305, Bexar County, Texas",4790,1016,2391,2725,3151,3254,4160,4455,4595
61849,1400000US48029130600,"Census Tract 1306, Bexar County, Texas",3864,578,1955,2245,2580,2828,3484,3718,3724
61850,1400000US48029130700,"Census Tract 1307, Bexar County, Texas",2620,656,1612,1791,1824,1958,2315,2416,2463
