state,epa_region,county,fips,tract,population,respiratory_hi,neurological_hi,liver_hi,developmental_hi,reproductive_hi,kidney_hi,ocular_hi,endocrine_hi,hematological_hi,immunological_hi,skeletal_hi,spleen_hi,thyroid_hi,whole_body_hi
TX,EPA Region 6,Bell,48027,48027022402,4402,0.3,0.02,0.01,0.02,0.02,0.006,2e-10,1e-06,9e-07,0.01,6e-07,0.0,0.0004,0.0001
TX,EPA Region 6,Bell,48027,48027022403,4513,0.3,0.02,0.01,0.02,0.03,0.006,2e-10,1e-06,9e-07,0.01,7e-07,0.0,0.0004,0.0001
TX,EPA Region 6,Bell,48027,48027022404,7400,0.3,0.02,0.01,0.02,0.03,0.006,2e-10,1e-06,1e-06,0.01,6e-07,0.0,0.0004,0.0001
TX,EPA Region 6,Bell,48027,48027022405,1750,0.3,0.02,0.01,0.02,0.03,0.006,2e-10,1e-06,9e-07,0.01,8e-07,0.0,0.0006,0.0001
TX,EPA Region 6,Bell,48027,48027022501,3423,0.3,0.03,0.01,0.02,0.03,0.006,2e-10,1e-06,9e-07,0.01,8e-07,0.0,0.0009,0.0001
TX,EPA Region 6,Bell,48027,48027022502,9542,0.3,0.02,0.01,0.02,0.02,0.006,2e-10,1e-06,9e-07,0.01,9e-07,0.0,0.0004,0.0001
TX,EPA Region 6,Bell,48027,48027022600,4292,0.3,0.02,0.01,0.02,0.02,0.005,2e-10,1e-06,8e-07,0.01,9e-07,0.0,0.0009,0.0001
TX,EPA Region 6,Bell,48027,48027022801,2540,0.3,0.02,0.01,0.02,0.02,0.005,2e-10,9e-07,8e-07,0.01,9e-07,0.0,0.001,0.0001
TX,EPA Region 6,Bell,48027,48027022900,3672,0.3,0.03,0.01,0.02,0.03,0.006,2e-10,1e-06,9e-07,0.01,8e-07,0.0,0.001,0.0001
TX,EPA Region 6,Bell,48027,48027023000,7028,0.3,0.02,0.01,0.02,0.03,0.006,2e-10,1e-06,9e-07,0.01,8e-07,0.0,0.0007,0.0001
TX,EPA Region 6,Bell,48027,48027023103,4467,0.3,0.02,0.01,0.02,0.03,0.005,2e-10,1e-06,8e-07,0.01,7e-07,0.0,0.001,0.0001
TX,EPA Region 6,Bell,48027,48027023104,3235,0.3,0.02,0.01,0.02,0.03,0.005,2e-10,1e-06,8e-07,0.01,7e-07,0.0,0.001,0.0001
TX,EPA Region 6,Bell,48027,48027023105,8805,0.3,0.02,0.01,0.02,0.02,0.005,2e-10,9e-07,6e-07,0.01,5e-07,0.0,0.0009,0.0001
TX,EPA Region 6,Bell,48027,48027023106,9716,0.3,0.02,0.01,0.02,0.02,0.005,2e-10,9e-07,6e-07,0.01,5e-07,0.0,0.001,0.0001
TX,EPA Region 6,Bell,48027,48027023107,7105,0.3,0.02,0.01,0.02,0.02,0.005,2e-10,1e-06,7e-07,0.01,7e-07,0.0,0.001,0.0001
TX,EPA Region 6,Bell,48027,48027023108,13856,0.3,0.02,0.01,0.02,0.02,0.005,2e-10,1e-06,7e-07,0.01,7e-07,0.0,0.002,0.0001
TX,EPA Region 6,Bell,48027,48027023201,2684,0.3,0.02,0.01,0.02,0.02,0.005,3e-10,8e-07,7e-07,0.01,9e-07,0.0,0.003,0.0001
TX,EPA Region 6,Bell,48027,48027023202,5198,0.3,0.03,0.01,0.02,0.02,0.004,4e-10,8e-07,6e-07,0.01,8e-07,0.0,0.004,0.0001
TX,EPA Region 6,Bell,48027,48027023203,2909,0.3,0.02,0.01,0.02,0.02,0.005,3e-10,1e-06,8e-07,0.01,8e-07,0.0,0.002,0.0001
